Feed,"C,in (wt%)","H,in (wt%)","N,in (wt%)","S,in (wt%)","O,in (wt%)","VM,in (%)","FC,in (%)","Ash,in (%)"
OHWD,34.2828,3.9804,1.926,0.1926,23.8182,54.6,9.6,35.8
AGR,44.1,5.1,3.2,0.3,31.3,70.2,13.8,16
MSW,24.1,1.7,1.5,0.2,17,36.2,8.3,55.5
