iteration,particle_id,process_index,parameters,revenue,co2_emission,score,pbest_position,pbest_score,particle_results
3,0,1,[1],0.00186826,0.5189,0.25851587000000004,[1],0.25851587000000004,"{'raw': {'electricity': -2.1823, 'CO2_emission': 51.8949}, 'products': {'electricity': -0.0218}, 'emissions': {'CO2_emission': 0.5189}}"
3,1,0,"[0, 158, 0.5]",0.092234625,0.3476,0.1276826875,"[0, 150, 0.5]",0.1276826875,"{'raw': {'char': 15.586, 'electricity': -64.8078, 'CO2_emission': 23.1719, 'char_HHV': np.float64(8.909), 'char_kg_per_kg_wet': 0.2338}, 'products': {'char': np.float64(2.083), 'electricity': -0.9721}, 'emissions': {'CO2_emission': 0.3476}}"
3,2,0,"[0, 158, 0.5]",0.051175754999999996,0.348,0.1484121225,"[0, 164, 0.5]",0.12741769000000003,"{'raw': {'char': 15.1, 'electricity': -33.0293, 'CO2_emission': 23.1985, 'char_HHV': np.float64(8.983), 'char_kg_per_kg_wet': 0.2265}, 'products': {'char': np.float64(2.035), 'electricity': -0.4954}, 'emissions': {'CO2_emission': 0.348}}"
3,3,0,"[0, 158, 0.5]",0.092234625,0.3476,0.1276826875,"[0, 150, 0.5]",0.1276826875,"{'raw': {'char': 15.586, 'electricity': -64.8078, 'CO2_emission': 23.1719, 'char_HHV': np.float64(8.909), 'char_kg_per_kg_wet': 0.2338}, 'products': {'char': np.float64(2.083), 'electricity': -0.9721}, 'emissions': {'CO2_emission': 0.3476}}"
3,4,0,"[0, 158, 0.5]",0.053318254999999995,0.3544,0.1505408725,"[0, 163, 0.47]",0.137260665,"{'raw': {'char': 14.9644, 'electricity': -34.7766, 'CO2_emission': 23.6287, 'char_HHV': np.float64(8.96), 'char_kg_per_kg_wet': 0.2245}, 'products': {'char': np.float64(2.011), 'electricity': -0.5216}, 'emissions': {'CO2_emission': 0.3544}}"
4,0,1,[1],0.00186826,0.5189,0.25851587000000004,[1],0.25851587000000004,"{'raw': {'electricity': -2.1823, 'CO2_emission': 51.8949}, 'products': {'electricity': -0.0218}, 'emissions': {'CO2_emission': 0.5189}}"
4,1,0,"[0, 158, 0.5]",0.092217485,0.3468,0.1272912575,"[0, 157, 0.5]",0.1272912575,"{'raw': {'char': 15.4565, 'electricity': -64.8349, 'CO2_emission': 23.123, 'char_HHV': np.float64(8.931), 'char_kg_per_kg_wet': 0.2318}, 'products': {'char': np.float64(2.071), 'electricity': -0.9725}, 'emissions': {'CO2_emission': 0.3468}}"
4,2,0,"[0, 158, 0.5]",0.09224748,0.347,0.12737626,"[0, 162, 0.5]",0.12737626,"{'raw': {'char': 15.3634, 'electricity': -64.8898, 'CO2_emission': 23.1327, 'char_HHV': np.float64(8.946), 'char_kg_per_kg_wet': 0.2305}, 'products': {'char': np.float64(2.062), 'electricity': -0.9733}, 'emissions': {'CO2_emission': 0.347}}"
4,3,0,"[0, 158, 0.5]",0.092234625,0.3476,0.1276826875,"[0, 150, 0.5]",0.1276826875,"{'raw': {'char': 15.586, 'electricity': -64.8078, 'CO2_emission': 23.1719, 'char_HHV': np.float64(8.909), 'char_kg_per_kg_wet': 0.2338}, 'products': {'char': np.float64(2.083), 'electricity': -0.9721}, 'emissions': {'CO2_emission': 0.3476}}"
4,4,0,"[0, 158, 0.5]",0.09323303,0.3614,0.134083485,"[0, 165, 0.48]",0.134083485,"{'raw': {'char': 14.695, 'electricity': -65.945, 'CO2_emission': 24.0903, 'char_HHV': np.float64(8.954), 'char_kg_per_kg_wet': 0.2204}, 'products': {'char': np.float64(1.974), 'electricity': -0.9892}, 'emissions': {'CO2_emission': 0.3614}}"
5,0,1,[1],0.00186826,0.5189,0.25851587000000004,[1],0.25851587000000004,"{'raw': {'electricity': -2.1823, 'CO2_emission': 51.8949}, 'products': {'electricity': -0.0218}, 'emissions': {'CO2_emission': 0.5189}}"
5,1,0,"[0, 158, 0.5]",0.09224319499999999,0.3469,0.1273284025,"[0, 157, 0.5]",0.1272912575,"{'raw': {'char': 15.3821, 'electricity': -64.8767, 'CO2_emission': 23.1281, 'char_HHV': np.float64(8.943), 'char_kg_per_kg_wet': 0.2307}, 'products': {'char': np.float64(2.063), 'electricity': -0.9732}, 'emissions': {'CO2_emission': 0.3469}}"
5,2,0,"[0, 158, 0.5]",0.09223034,0.3474,0.12758482999999998,"[0, 162, 0.5]",0.12737626,"{'raw': {'char': 15.5491, 'electricity': -64.8162, 'CO2_emission': 23.1584, 'char_HHV': np.float64(8.916), 'char_kg_per_kg_wet': 0.2332}, 'products': {'char': np.float64(2.08), 'electricity': -0.9722}, 'emissions': {'CO2_emission': 0.3474}}"
5,3,0,"[0, 158, 0.5]",0.092234625,0.3476,0.1276826875,"[0, 150, 0.5]",0.1276826875,"{'raw': {'char': 15.586, 'electricity': -64.8078, 'CO2_emission': 23.1719, 'char_HHV': np.float64(8.909), 'char_kg_per_kg_wet': 0.2338}, 'products': {'char': np.float64(2.083), 'electricity': -0.9721}, 'emissions': {'CO2_emission': 0.3476}}"
5,4,0,"[0, 158, 0.5]",0.052525529999999994,0.3545,0.150987235,"[0, 165, 0.48]",0.134083485,"{'raw': {'char': 15.22, 'electricity': -34.0722, 'CO2_emission': 23.6343, 'char_HHV': np.float64(8.919), 'char_kg_per_kg_wet': 0.2283}, 'products': {'char': np.float64(2.036), 'electricity': -0.5111}, 'emissions': {'CO2_emission': 0.3545}}"
6,0,1,[1],0.00186826,0.5189,0.25851587000000004,[1],0.25851587000000004,"{'raw': {'electricity': -2.1823, 'CO2_emission': 51.8949}, 'products': {'electricity': -0.0218}, 'emissions': {'CO2_emission': 0.5189}}"
